TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
100.519183673,-233.237,56.924,-19.9406,17.9116,-1.37566,-6.09259,-6.78731,3.73065,-5.67718,5.02279,1.2822,-1.3223,3.38553,-0.330639,-3.90924,3.2591,-2.20937,-0.728691,-3.41442,1.38878,-3.2113
100.542403628,-234.287,56.6255,-17.8061,14.7503,0.660824,-4.43316,-9.24652,5.56685,-4.84166,3.45196,5.91919,-2.49712,2.66028,-1.67878,-0.732531,1.08778,-2.00589,0.222138,-3.63261,0.178323,-3.24024
100.565623583,-249.903,60.3004,-18.3068,15.1822,1.58816,-1.87559,-5.8094,1.55933,-7.42379,4.8506,3.45668,-2.99457,1.78211,-1.6164,-1.60971,1.6231,-3.37926,0.995697,-4.11029,-0.245973,-3.19022
100.588843537,-250.462,62.7399,-18.7097,14.8113,1.23775,-0.166465,-1.02866,4.36355,-5.73497,3.59392,2.41092,-4.60782,1.97875,-2.80703,-3.25612,2.63327,-1.63241,1.83535,-1.92866,0.266296,-3.82359
100.612063492,-253.861,56.8407,-23.7852,8.05877,-7.45054,-2.82522,-1.7096,6.90637,-1.12694,5.25699,2.64672,-0.824348,6.49105,1.48885,1.79994,3.46437,-2.96517,3.52336,0.288873,2.57467,-0.973334
100.635283447,-261.475,51.2205,-26.2359,5.802,-11.4242,-8.76314,-7.10214,2.57616,-3.25864,3.25734,3.21329,0.969038,4.83271,-0.789606,-2.48786,3.80019,-1.16976,2.15585,-2.35055,2.9616,-0.693172
100.658503401,-265.068,52.0226,-25.6602,3.502,-10.8283,-8.00569,-8.18235,2.17669,-5.72569,1.56037,2.3504,-1.87319,5.08546,-1.90328,-4.13456,-0.296959,-6.27511,3.37322,-2.91278,1.58123,-0.590542
100.681723356,-260.466,48.0283,-25.1227,-1.26411,-19.6187,-7.68766,-6.99601,9.50613,-7.17929,1.67786,1.36732,-5.06153,8.42609,-0.479414,-2.71169,1.89636,-6.85113,3.49185,-2.09268,2.06159,0.98057
100.704943311,-224.519,55.4978,-21.8903,7.01235,-6.58274,-4.53815,-6.37999,1.22462,-14.6723,-1.32548,0.0458133,-2.92092,4.18815,-5.5859,-4.37142,4.14512,-3.01438,-1.26235,-3.529,-0.0142717,-2.60559
100.728163265,-222.986,54.5317,-20.8317,14.4718,-2.15716,-1.41699,-8.4026,2.19596,-7.47617,0.720083,0.551283,-5.12442,4.3841,-4.08682,2.58865,3.89124,-4.76137,-1.2159,-4.34847,2.4583,2.05835
100.751383220,-223.44,54.3297,-20.6021,15.7395,-4.09118,0.786481,-6.5673,1.70609,-7.49798,3.52664,-0.353441,-3.26292,4.81703,-5.23806,2.6472,2.61779,-4.79397,2.62397,-2.72222,1.94985,-0.870855
100.774603175,-232.381,54.8279,-19.2344,12.4712,-4.19903,2.06268,-4.55105,-0.737377,-7.89222,0.983904,2.25463,-0.852304,2.28899,-1.68452,0.820364,-0.805152,-5.00271,2.5779,-1.57731,2.34773,1.3492
100.797823129,-221.282,53.9685,-18.6102,11.1926,-2.35874,3.40221,-6.06297,2.02349,-5.15943,2.41726,2.14158,0.582926,-1.45508,-3.45638,-3.44036,1.45204,-3.74407,4.09681,0.477605,3.5194,-0.114259
100.821043084,-231.729,40.8854,-33.9084,8.20697,-6.4785,-0.168325,-0.415148,4.60215,-2.53291,7.04588,7.15787,4.71011,3.47709,0.495136,-4.46419,2.85157,-1.16533,7.43455,0.0960559,5.68977,1.67237
100.844263039,-236.009,41.5864,-33.6308,5.10432,-8.00399,-3.70243,-5.86159,0.474874,-7.85831,2.60018,2.62365,4.66978,2.29836,-4.62599,-4.83499,1.33666,-2.67557,8.26908,1.13119,4.90319,1.86094
100.867482993,-236.836,41.3148,-34.9039,1.4126,-12.3642,-4.26482,-10.5386,2.42619,-8.9542,-1.42594,0.897987,0.100865,1.18137,-4.63124,-2.97319,2.11988,-3.32001,6.9768,-1.36784,2.67657,1.88061
100.890702948,-236.122,37.0385,-30.4047,-2.42342,-13.7878,-2.32583,-7.03248,5.25953,-4.14618,1.61534,-0.107373,-5.32071,1.93341,-4.45586,-1.90657,4.85969,-1.79207,5.19364,3.09916,5.12209,2.29661
100.913922902,-239.846,49.4788,-15.0579,7.69792,-4.60165,-1.56726,-4.91676,-5.63334,-13.2328,-0.720473,-4.39271,-1.61157,0.353254,-1.32693,-2.12057,0.679778,-3.48331,-1.15478,-5.02158,-4.91449,-4.09237
100.937142857,-235.055,51.1443,-13.7395,14.5989,-5.63212,4.90157,-1.25029,-1.45448,-6.68349,3.48943,-4.70588,3.69067,-0.366724,2.30087,2.07346,2.12056,-1.02628,-0.15712,-5.06793,-3.59205,-2.03715
100.960362812,-228.987,51.7369,-15.2716,13.0098,-6.16959,4.02932,-3.65376,-0.83734,-5.17793,3.93208,-1.68137,6.45213,0.296564,-0.840088,0.459307,-0.359428,-0.5007,-2.01649,-3.11827,-3.24825,-1.19232
100.983582766,-227.696,47.6334,-14.483,16.1583,-10.7296,6.58263,-4.87613,-0.0819644,-5.36796,2.95607,-1.60789,8.28458,-1.74032,-0.605105,-0.560186,0.167817,-1.40692,-0.799555,-2.78296,-1.96804,-2.24691
101.006802721,-217.868,48.63,-18.0755,21.0653,-9.29002,-0.352975,-8.35724,2.61426,-7.09259,-0.175677,-1.27517,2.63296,1.27115,0.747116,-4.86004,6.75872,-0.203946,0.0128631,1.8807,-1.81039,1.17528
101.030022676,-219.338,50.3541,-22.1562,20.0686,-5.84425,-1.73136,-8.85713,1.2636,-1.32541,0.605775,2.32832,-0.366311,-0.989716,-1.79072,-2.87328,4.64901,-5.36113,2.0317,1.7741,0.639327,1.33586
101.053242630,-224.491,51.3706,-20.5146,22.233,-5.67052,-4.04734,-8.12461,1.94976,-3.15106,6.17165,-1.67487,-2.595,-0.521609,-1.41513,-1.67749,0.325467,-4.34824,3.76438,-1.20372,1.34495,1.56775
101.076462585,-228.179,50.815,-18.0497,20.763,-4.58752,-1.61679,-9.5553,3.47447,-1.67063,1.28128,2.222,-2.96944,0.661179,-5.1559,-2.50908,1.59778,-4.14242,6.85165,-1.52815,-0.99827,-0.164764
101.099682540,-233.462,38.4978,-30.9665,13.8887,-8.38184,-5.84382,-5.90656,6.69128,-0.471389,4.32466,1.13416,-1.47716,2.3165,-0.59848,-2.82526,8.57003,-0.279052,7.12315,1.38162,4.25908,2.50005
101.122902494,-222.916,47.6394,-24.4347,20.7777,-2.41858,-1.42122,-6.92829,0.0985123,-5.15446,2.40938,-6.38122,-6.5991,-7.09567,-4.01241,-5.38294,3.68084,-1.35421,8.3327,2.28931,1.08665,-1.50519
101.146122449,-218.956,50.8065,-22.1527,19.6961,-1.2187,2.83616,-6.58611,3.34448,-3.64897,1.05478,-4.41392,-4.052,-4.51039,-1.15507,-5.42026,4.2546,0.0892737,5.51834,3.93162,2.76839,-2.49342
101.169342404,-219.027,48.4706,-20.9963,20.9963,-3.90677,3.48199,-5.78666,2.89723,-4.35212,0.729673,-3.9755,-3.70942,-4.91865,-0.835075,-4.86992,3.54515,1.23755,5.5725,4.49418,2.27608,-3.00231
101.192562358,-222.692,46.2338,-21.355,19.0338,-6.42842,1.99348,-7.81906,3.1984,-0.998903,-1.76219,-5.01821,-8.18281,-6.24561,-1.77595,-4.31624,4.33368,2.03963,5.0725,4.88455,1.17199,-2.87454
101.215782313,-225.093,46.3857,-20.5473,22.2461,-5.19506,-2.04074,-8.41343,3.79204,-0.43265,1.27597,-4.47057,-8.13054,-5.03013,-0.20658,-3.32772,2.48583,-1.0512,5.44543,5.00829,4.08737,-2.75333
101.239002268,-223.652,45.8751,-16.453,22.6097,-5.18015,0.789548,-7.74227,5.57568,0.0970374,1.78455,-0.964463,-8.66273,-4.67292,-0.109169,-2.99799,4.17681,-1.91243,4.56838,6.00751,2.97911,-3.41571
101.262222222,-224.095,46.8002,-15.3811,21.3733,-9.55506,2.0612,-7.70119,7.18828,-4.50285,2.46695,0.309994,-3.1252,-3.78786,-4.23229,-3.32024,4.42507,-0.450625,4.8875,0.927328,2.85663,-0.542261
101.285442177,-224.546,45.8183,-17.4998,16.1085,-14.3462,3.44244,-5.24512,3.55891,-7.08252,0.734776,-0.163072,-0.286386,-5.85647,-6.23964,-3.17927,2.86559,-1.07735,5.50877,1.42368,2.56602,0.993717
101.308662132,-227.11,45.848,-16.6101,19.8023,-8.02514,1.631,-4.82949,5.12434,-5.45098,3.62987,-1.59401,-1.65612,-3.67106,-5.39354,-2.51092,4.29455,-3.56527,5.06952,3.01217,2.47685,1.67463
101.331882086,-227.883,46.838,-17.1122,21.3886,-3.62126,4.13151,-4.56128,3.03173,-4.13483,5.12155,1.14995,-0.416087,-4.25021,-3.64032,-4.11169,5.84345,-5.42916,2.23018,6.92404,2.25206,-0.580181
101.355102041,-235.215,39.0649,-23.2187,18.2487,-6.43688,-1.66096,-5.64004,3.7492,-1.41809,5.26876,1.75261,-0.527861,-0.651859,-1.61139,-2.12355,10.2711,0.100488,6.19296,5.71243,3.31803,1.81971
